S.no, Name, UID, class, city, phone, numbers, marks, dob
1, "yash", 1814, "cse", "jaipur", 23455, 7, 98, 04-05-1999
2, "sameer", 1830, "cse", "delhi", 346, 9, 58, 12-05-1999
3, "manu", 1821, "cse", "alwar", 22356, 8, 88, 23-07-1999
4, "rathi", 1831, "cse", "meerut", 4562, 10, 58, 04-11-2000
5, "aman", 1817, "cse", "bihar", 34675, 17, 28, 04-01-2000
6, "jalaj", 1805, "cse", "chd", 4678, 24, 18, 04-02-2000
7, "yogesh", 1809, "cse", "chd", 5673, 25, 68, 04-03-1999
8, "vikrant", 1801, "cse", "jammu", 35746, 67, 38, 02-04-1999
9, "arnab", 1811, "cse", "bengal", 45723, 127, 78, 04-08-2000
10, "aakash", 1812, "cse", "jammu", 2356, 427, 78, 04-09-2000
